Amount,Applicant,Average,Beneficiary,Community_ID,Deviation,Frequency,Linkage
112199439,SEASONS EDIBLE OIL LIMITED,37399813,AAA OILS AND FATS PTE LTD,0,3089887.037,3,0
95451361.17,SEASONS EDIBLE OIL LIMITED,95451361.17,CARGILL INTERNATIONAL TRADING PTE,0,,1,0
696589187,SEASONS EDIBLE OIL LIMITED,69658918.7,GOLDEN AGRI INTERNATIONAL PTE LTD,0,34571045.04,10,0
198039087,SEASONS EDIBLE OIL LIMITED,66013029,LOUIS DREYFUS COMMODITIES INDIA PVT (Multiple),0,13903487.75,3,1
35515170.64,SEASONS EDIBLE OIL LIMITED,7103034.128,SAUDI BASIC INDUSTRIES CORPORATION,0,2542638.288,5,1
3012436.8,AL BARKA FABRICS  PVT  LTD,3012436.8,CHANG CHUN PETROCHEMICAL CO LTD,0,,1,0
6089544,AL BARKA FABRICS  PVT  LTD,3044772,HABASIT KAYIS SANAYI VE,0,0,2,1
4111976.23,AL BARKA FABRICS  PVT  LTD,4111976.23,NIPPON GULF INTERNATIONAL FZE,0,,1,0
10225153.53,AL BARKA FABRICS  PVT  LTD,10225153.53,REGGIANI MACCHINE SPA,0,,1,1
27673602.23,AL BARKA FABRICS  PVT  LTD,5534720.446,WORLDCHEM FZE,0,2120560.411,5,1
198929007,AL MADINA OIL INDUSTRIES,19892900.7,AAA OILS AND FATS PTE LTD,0,954950.6787,10,0
17174914,AL MADINA OIL INDUSTRIES,17174914,CARGILL INTERNATIONAL TRADING PTE,0,,1,0
39824801,AL MADINA OIL INDUSTRIES,19912400.5,FGV TRADING SDN BHD,0,1007622.213,2,0
83422781.06,AL MADINA OIL INDUSTRIES,20855695.27,INTERCONTINENTAL OILS AND FATS PTE,0,1528018.039,4,0
35600774.69,AL MADINA OIL INDUSTRIES,17800387.35,VIRGOZ OILS AND FATS PTE LTD,0,990617.4904,2,0
6401428.2,BRITER ELECTROPLATING CO,6401428.2,ELEMENTIS CHROMIUM INC,0,,1,0
31735745,BRITER ELECTROPLATING CO,31735745,JINCHUAN GROUP CO LTD,0,,1,0
1961221.87,BRITER ELECTROPLATING CO,1961221.87,LAND STAR GENERAL TRADING LLC,0,,1,0
21070293.9,BRITER ELECTROPLATING CO,5267573.475,SISECAM DIS TICARET AS,0,697333.7405,4,0
39149804,PAN ASIA FOOD PRODUCTS (PVT),39149804,ASTRAKLK PTE LTD,0,,1,0
40649797,PAN ASIA FOOD PRODUCTS (PVT),40649797,CARGILL INTERNATIONAL TRADING PTE,0,,1,0
1280753597,PAN ASIA FOOD PRODUCTS (PVT),40023549.91,GOLDEN AGRI INTERNATIONAL PTE LTD,0,2914045.83,32,0
38999805,PAN ASIA FOOD PRODUCTS (PVT),38999805,INTERCONTINENTAL OILS AND FATS PTE,0,,1,0
47759761,PAN ASIA FOOD PRODUCTS (PVT),47759761,NIDERA BV,0,,1,0
78599608,PAN ASIA FOOD PRODUCTS (PVT),39299804,WILMAR TRADING CHINA PTE LTD,0,0,2,0
6730913.47,SM ASLAM AND CO,6730913.47,GEMINI CORPORATION NV,0,,1,1
926324.32,SM ASLAM AND CO,926324.32,J AND C INDUSTRY CORPORATION,0,,1,0
2198032.88,SM ASLAM AND CO,2198032.88,JIANGYIN CHENGXING INTERNATIONAL,0,,1,0
1961221.87,SM ASLAM AND CO,1961221.87,LAND STAR GENERAL TRADING LLC,0,,1,0
3019095.69,SM ASLAM AND CO,1509547.845,MIDAS APPLIED MATERIALS CORPORATION,0,110371.1025,2,0
1923461.82,SM ASLAM AND CO,1923461.82,SHIFANG SUNDIA CHEMICAL INDUSTRY,0,,1,0
3120696.25,SHABBIR TILES AND CERAMICS LIMITED,3120696.25,INDUSTRIE BITOSSI SPA,0,,1,0
93144964.24,SWERA TRADERS (PVT) LTD,46572482.12,ASTRAKLK PTE LTD,0,0,2,0
69296506.24,SWERA TRADERS (PVT) LTD,34648253.12,FGV TRADING SDN BHD,0,0,2,0
1975507772,SWERA TRADERS (PVT) LTD,37990534.09,GOLDEN AGRI INTERNATIONAL PTE LTD,0,6716556.79,52,0
59849701,SWERA TRADERS (PVT) LTD,29924850.5,LOUIS DREYFUS COMMODITIES INDIA PVT (Multiple),0,14106710.28,2,1
234836394.5,SWERA TRADERS (PVT) LTD,39139399.08,VIRGOZ OILS AND FATS PTE LTD,0,1333129.878,6,0
100414560,SWERA TRADERS (PVT) LTD,33471520,WILMAR TRADING CHINA PTE LTD,0,0,3,0
4721994.68,"KIFAYAT ENTERPRISES.,",4721994.68,J AND C INDUSTRY CORPORATION,0,,1,0
26169500.91,"KIFAYAT ENTERPRISES.,",13084750.46,JIAXING ZANYU TECHNOLOGY,0,764328.0469,2,0
2478588,"KIFAYAT ENTERPRISES.,",2478588,MEISHAN KINGLY CHEMICAL CO LTD,0,,1,0
69979884.35,"KIFAYAT ENTERPRISES.,",13995976.87,MIWON CHEMICALS CO LTD,0,8239270.511,5,0
36478726.87,"HUNZA GHEE INDUSTRIES (PVT) LTD.,",36478726.87,CARGILL INTERNATIONAL TRADING PTE,0,,1,0
260450265,"HUNZA GHEE INDUSTRIES (PVT) LTD.,",32556283.13,FGV TRADING SDN BHD,0,2994592.867,8,0
2884711588,"HUNZA GHEE INDUSTRIES (PVT) LTD.,",40065438.73,GOLDEN AGRI INTERNATIONAL PTE LTD,0,3341812.687,72,0
31039604.87,"HUNZA GHEE INDUSTRIES (PVT) LTD.,",31039604.87,INTERCONTINENTAL OILS AND FATS PTE,0,,1,0
118319408,"HUNZA GHEE INDUSTRIES (PVT) LTD.,",39439802.67,IOI GLOBAL SERVICES SDN BHD,0,6512478.705,3,0
87599562,"HUNZA GHEE INDUSTRIES (PVT) LTD.,",43799781,LOUIS DREYFUS COMMODITIES INDIA PVT (Multiple),0,0,2,1
66943040,"HUNZA GHEE INDUSTRIES (PVT) LTD.,",33471520,VIRGOZ OILS AND FATS PTE LTD,0,0,2,0
133886080,"HUNZA GHEE INDUSTRIES (PVT) LTD.,",33471520,WILMAR TRADING CHINA PTE LTD,0,0,4,0
56886323,"PAKISTAN CABLES LTD.,",28443161.5,MASCHINENFABRIK HERKULES GMBH AND,0,31875053.53,2,1
92265578.64,"PAKISTAN CABLES LTD.,",10251730.96,VINYTHAI PUBLIC COMPANY LIMITED,0,3154666.36,9,0
2159989,CHEMTECH PROCHIMICA,2159989,BASF INDIA LIMITED,0,,1,0
8063302,CHEMTECH PROCHIMICA,4031651,ILYAS SONS CORPORATION,0,42128.00781,2,0
16175919,CHEMTECH PROCHIMICA,8087959.5,MOMENTIVE PERFORMANCE MATERIALS,0,339409.1336,2,0
24463200,CHEMTECH PROCHIMICA,8154400,MULTI RESIN INDUSTRIES,0,4389413.227,3,0
806396,CHEMTECH PROCHIMICA,806396,SUZHOU LIANSHENG CHEMISTRY CO LTD,0,,1,1
659122319,COLGATE-PALMOLIVE (PAKISTAN) LTD.,329561159.5,DESMET BALLESTRA SPA,0,12542353.91,2,0
59098152.5,COLGATE-PALMOLIVE (PAKISTAN) LTD.,59098152.5,ICC CHEMICALS CORPORATION,0,,1,1
15183596,COLGATE-PALMOLIVE (PAKISTAN) LTD.,15183596,JIANGYIN CHENGXING INTERNATIONAL,0,,1,0
94955725.9,COLGATE-PALMOLIVE (PAKISTAN) LTD.,11869465.74,NATIONAL ESTFOR AGRICULTURAL AND,0,927645.2067,8,0
7467563,"AHN SYNTHETIC (PVT) LTD.,",7467563,HANGZHOU HITECH FINE CHEMICAL,0,,1,0
23263083,"AHN SYNTHETIC (PVT) LTD.,",7754361,KUMKANG CORPORATION,0,3622982.731,3,0
5999970,"AHN SYNTHETIC (PVT) LTD.,",5999970,MITSUI AND CO LTD,0,,1,1
7391963,"AHN SYNTHETIC (PVT) LTD.,",7391963,SCG PERFORMANCE CHEMICALS CO LTD,0,,1,0
7641562,"AHN SYNTHETIC (PVT) LTD.,",7641562,THE FACTORY OF METHANOL CHEMICALS,0,,1,0
1958083.92,"M.N.CHEMICAL INDUSTRIES (PVT) LTD.,",1958083.92,OCI CORPORATION,0,,1,0
18745097.18,"M.N.CHEMICAL INDUSTRIES (PVT) LTD.,",4686274.295,QINGDAO LONGYUNTONG CORPORATION,0,1372355.271,4,0
2291962.34,"M.N.CHEMICAL INDUSTRIES (PVT) LTD.,",1145981.17,YIIDIANN CHEMICAL INDUSTRY CO,0,0,2,1
1016697.42,"M.N.CHEMICAL INDUSTRIES (PVT) LTD.,",1016697.42,ZHENJIANG LEE CHANG YUNG GENERAL,0,,1,0
9184480.54,CLASSIC INTERNATIONAL TRADING,3061493.513,ECHEM INCORPORATION LIMITED,0,949811.8407,3,0
1422957.99,CLASSIC INTERNATIONAL TRADING,1422957.99,HUBEI XIANLIN CHEMICAL CO LTD,0,,1,0
16482280.19,CLASSIC INTERNATIONAL TRADING,5494093.397,JIANGSU JINHAI HEZHONG TITANIUM CO,0,1212869.473,3,0
2121257,CLASSIC INTERNATIONAL TRADING,1060628.5,LAMIRSA LABORATRIES MIRET SA,0,73982.4612,2,0
2783986,CLASSIC INTERNATIONAL TRADING,2783986,PUYANG HONGYE HITECH,0,,1,0
34991826,CLASSIC INTERNATIONAL TRADING,5831971,SHANDONG JINHAI TITANIUM,0,37180.64012,6,0
938248.54,CLASSIC INTERNATIONAL TRADING,938248.54,SHANXI BRIGHT KAOLIN TECHNOLOGY,0,,1,0
3250879.54,CLASSIC INTERNATIONAL TRADING,1625439.77,UNION COLOURS LTD,0,1400668.621,2,0
193801245,T.U PLASTIC INDUSTRY COMPANY,5237871.486,ENGRO POLYMER AND CHEMICALS,0,1903249.137,37,0
6229409,T.U PLASTIC INDUSTRY COMPANY,6229409,INOVYN SVERIGE AB,0,,1,0
8314959.51,T.U PLASTIC INDUSTRY COMPANY,4157479.755,KUMKANG CORPORATION,0,3109527.873,2,0
6317805.1,T.U PLASTIC INDUSTRY COMPANY,1579451.275,SCG PERFORMANCE CHEMICALS CO LTD,0,277193.1946,4,0
19731461.04,T.U PLASTIC INDUSTRY COMPANY,2818780.149,THE FACTORY OF METHANOL CHEMICALS,0,796421.5761,7,0
1506218.4,T.U PLASTIC INDUSTRY COMPANY,1506218.4,TOC GLYCOL COMPANY LIMITED,0,,1,0
10135594.65,T.U PLASTIC INDUSTRY COMPANY,5067797.325,VINYTHAI PUBLIC COMPANY LIMITED,0,3039850.886,2,0
3819832.62,T.U PLASTIC INDUSTRY COMPANY,3819832.62,WANHUA CHEMICAL NINGBO TRADING,0,,1,1
5255974,"ISLAM SOAP INDUSTRIES (PVT) LTD.,",5255974,AK CHEMTECH CO LTD,0,,1,0
14563127,"ISLAM SOAP INDUSTRIES (PVT) LTD.,",4854375.667,ALLANASONS PRIVATE LIMITED,0,2525849.152,3,0
17396822.52,"ISLAM SOAP INDUSTRIES (PVT) LTD.,",8698411.26,FORMOSAN UNION CHEMICAL CORPORATION,0,124256.6785,2,0
5961570,"ISLAM SOAP INDUSTRIES (PVT) LTD.,",5961570,HUBEI ZHENHUA CHEMICAL CO LTD,0,,1,1
26862626.24,"ISLAM SOAP INDUSTRIES (PVT) LTD.,",8954208.747,KLKEPONG OLEOMAS SDN BHD,0,6555216.96,3,0
81343078.2,"ISLAM SOAP INDUSTRIES (PVT) LTD.,",10167884.78,MIWON CHEMICALS CO LTD,0,1213476.226,8,0
16642477,"ISLAM SOAP INDUSTRIES (PVT) LTD.,",16642477,SAI FERTILIZERS AND PHOSPHATES PVT,0,,1,0
632778843,"TAHIR OMER INDUSTRIES LIMITED,",79097355.38,AAA OILS AND FATS PTE LTD,0,6618772.265,8,0
577711880,"TAHIR OMER INDUSTRIES LIMITED,",192570626.7,ADM INTERNATIONAL SARL GLOBAL TRADE,0,52634007.39,3,0
2041556381,"TAHIR OMER INDUSTRIES LIMITED,",226839597.9,AL GHURAIR RESOURCES OILS AND,0,45437174.99,9,0
740604229.5,"TAHIR OMER INDUSTRIES LIMITED,",185151057.4,CARGILL INTERNATIONAL TRADING PTE,0,70327317.82,4,0
757850211,"TAHIR OMER INDUSTRIES LIMITED,",252616737,COFCO RESOURCES PTE LTD,0,9727148.838,3,1
390774766.1,"TAHIR OMER INDUSTRIES LIMITED,",195387383.1,COLUMBIA GRAIN EXPORT INC,0,61828791.94,2,0
66524646,"TAHIR OMER INDUSTRIES LIMITED,",66524646,FGV TRADING SDN BHD,0,,1,0
673916630,"TAHIR OMER INDUSTRIES LIMITED,",224638876.7,GLENCORE AGRICULTURE BV,0,97271487.22,3,1
169949151,"TAHIR OMER INDUSTRIES LIMITED,",56649717,GOLDEN AGRI INTERNATIONAL PTE LTD,0,21607355.73,3,0
129702140,"TAHIR OMER INDUSTRIES LIMITED,",64851070,INTERCONTINENTAL OILS AND FATS PTE,0,739623.0865,2,0
482769586,"TAHIR OMER INDUSTRIES LIMITED,",241384793,MIDSTAR SINGAPORE PTE LTD,0,0,2,1
729620352,"TAHIR OMER INDUSTRIES LIMITED,",243206784,PHOENIX GLOBAL DMCC,0,5158021.324,3,1
178337965.8,ZENITH CHEMICAL INDUSTRIES PVT LTD,12738426.13,ANHUI BAYI CHMICAL INDUSTRY CO LTD,0,4660745.266,14,1
10445269.93,ZENITH CHEMICAL INDUSTRIES PVT LTD,3481756.643,CHANG CHUN PETROCHEMICAL CO LTD,0,664590.4137,3,0
57334949.33,ZENITH CHEMICAL INDUSTRIES PVT LTD,4777912.444,JLP CORPORATION,0,1601474.575,12,0
2871856.42,ZENITH CHEMICAL INDUSTRIES PVT LTD,2871856.42,SASOL MIDDLE EAST FZCO,0,,1,0
2981057.25,ZENITH CHEMICAL INDUSTRIES PVT LTD,2981057.25,SHANGHAI JINHU ACTIVATED,0,,1,1
15256435.16,ZENITH CHEMICAL INDUSTRIES PVT LTD,7628217.58,TAIWAN PROSPERITY CHEMICAL,0,942066.2306,2,0
16487918,ZENITH CHEMICAL INDUSTRIES PVT LTD,16487918,ZHEJIANG LANGHUA PHARMACEUTICAL,0,,1,1
601441.37,ZENITH CHEMICAL INDUSTRIES PVT LTD,601441.37,ZHEJIANG MEDICINES AND HEALTH,0,,1,0
755996,"KOHINOOR CHEMICAL CO. (PVT) LTD.,",755996,BASF HONG KONG LIMITED,0,,1,0
3273931.1,"KOHINOOR CHEMICAL CO. (PVT) LTD.,",818482.775,BASF SOUTH EAST ASIA PTE LIMITED,0,258420.6595,4,0
5488917.16,"KOHINOOR CHEMICAL CO. (PVT) LTD.,",1829639.053,CHEMICAL MATE SDN BHD,0,233528.3595,3,0
2330901.7,"KOHINOOR CHEMICAL CO. (PVT) LTD.,",388483.6167,FUJI KASEI CO LTD,0,86466.01311,6,0
14870287.5,"KOHINOOR CHEMICAL CO. (PVT) LTD.,",4956762.5,HINDALCO INDUSTRIES LIMITED,0,820859.1331,3,1
19405769.2,"KOHINOOR CHEMICAL CO. (PVT) LTD.,",1617147.433,IOI PANCENTURY OLEOCHEMICALS,0,159926.8744,12,0
4460377,"KOHINOOR CHEMICAL CO. (PVT) LTD.,",2230188.5,JIAXING SUNLONG INDUSTRIAL AND,0,121338.8165,2,0
2275226.57,"KOHINOOR CHEMICAL CO. (PVT) LTD.,",1137613.285,SHANGHAI ESSENTIAL OILS AND,0,146149.5177,2,0
2372129673,NIMIR INDUSTRIAL CHEMICALS LIMITED,53912038.03,AAA OILS AND FATS PTE LTD,0,25551282.72,44,0
99132110,NIMIR INDUSTRIAL CHEMICALS LIMITED,99132110,ACMA SPA,0,,1,0
55004160,NIMIR INDUSTRIAL CHEMICALS LIMITED,27502080,DESMET BALLESTRA SPA,0,160221.9113,2,0
15436723,NIMIR INDUSTRIAL CHEMICALS LIMITED,15436723,EVYAP SABUN MALAYSIA SDN BHD,0,,1,0
102479488,NIMIR INDUSTRIAL CHEMICALS LIMITED,102479488,KALMART SYSTEMS M SDN BHD,0,,1,0
43486583,NIMIR INDUSTRIAL CHEMICALS LIMITED,43486583,PALMAMIDE SDN BHD,0,,1,0
51778401,NIMIR INDUSTRIAL CHEMICALS LIMITED,25889200.5,SAS MARIANI SRL,0,33630331.56,2,0
5519972,NIMIR INDUSTRIAL CHEMICALS LIMITED,5519972,SHANDONG DAHAI GROUP CO LTD,0,,1,0
11795363.65,NIMIR INDUSTRIAL CHEMICALS LIMITED,11795363.65,SOUTHERN ACIDS INDUSTRIES SDN BHD,0,,1,0
45638417.52,NIMIR INDUSTRIAL CHEMICALS LIMITED,22819208.76,SURIACHEM SDN BHD,0,10757078.17,2,0
9653768,NIMIR INDUSTRIAL CHEMICALS LIMITED,9653768,THYSSENKRUPP UHDE CHLORINE,0,,1,1
34169829,NIMIR INDUSTRIAL CHEMICALS LIMITED,34169829,VIRGOZ OILS AND FATS PTE LTD,0,,1,0
55937901,"NORSON CHEMICAL INDUSTRIES,",9322983.5,CHEMOURS INTERNATIONAL OPERATIONS,0,5914424.845,6,0
14018930,"NORSON CHEMICAL INDUSTRIES,",4672976.667,ECHEM INCORPORATION LIMITED,0,1484784.544,3,0
2402645.74,"NORSON CHEMICAL INDUSTRIES,",1201322.87,HUBEI XIANLIN CHEMICAL CO LTD,0,687122.7132,2,0
3671407.34,"NORSON CHEMICAL INDUSTRIES,",917851.835,INNER MONGOLIA SANXIN KAOLIN CO,0,32369.2483,4,0
18385209.99,"NORSON CHEMICAL INDUSTRIES,",3677041.998,JIANGSU JINHAI HEZHONG TITANIUM CO,0,2367262.023,5,0
630197,"NORSON CHEMICAL INDUSTRIES,",630197,LAMIRSA LABORATRIES MIRET SA,0,,1,0
6644127,"NORSON CHEMICAL INDUSTRIES,",2214709,PUYANG HONGYE HITECH,0,1028941.513,3,0
10424286.51,"NORSON CHEMICAL INDUSTRIES,",3474762.17,SHANDONG DOGUIDE GROUP CO LTD,0,0,3,0
35063826,"NORSON CHEMICAL INDUSTRIES,",5843971,SHANDONG JINHAI TITANIUM,0,39436.02414,6,0
938248.54,"NORSON CHEMICAL INDUSTRIES,",938248.54,SHANXI BRIGHT KAOLIN TECHNOLOGY,0,,1,0
6823577.28,"NORSON CHEMICAL INDUSTRIES,",2274525.76,UNION COLOURS LTD,0,754687.9413,3,0
2588747,"KARSS PAINT INDUSTRIES (PVT) LTD.,",2588747,BASF INDIA LIMITED,0,,1,0
5879971,"KARSS PAINT INDUSTRIES (PVT) LTD.,",5879971,CHEMOURS INTERNATIONAL OPERATIONS,0,,1,0
12985070.22,"KARSS PAINT INDUSTRIES (PVT) LTD.,",6492535.11,HUBEI YIHUA CHEMICAL INDUSTRY CO,0,525282.6021,2,0
4922375,"KARSS PAINT INDUSTRIES (PVT) LTD.,",2461187.5,JIAXING SUNLONG INDUSTRIAL AND,0,130672.6261,2,0
6719966,"KARSS PAINT INDUSTRIES (PVT) LTD.,",6719966,KRONOS TITAN GMBH,0,,1,0
2761400.4,"KARSS PAINT INDUSTRIES (PVT) LTD.,",2761400.4,LCY CHEMICAL CORP,0,,1,0
5430486.16,"KARSS PAINT INDUSTRIES (PVT) LTD.,",2715243.08,PT BASF INDONESIA,0,305274.8549,2,0
19235664.15,"KARSS PAINT INDUSTRIES (PVT) LTD.,",3205944.025,SHANDONG DAWN INTERNATIONAL,0,274578.5337,6,1
5879971,"KARSS PAINT INDUSTRIES (PVT) LTD.,",5879971,SHANDONG JINHAI TITANIUM,0,,1,0
8711956,"DIC PAKISTAN LTD.,",8711956,BUHLER WUXI COMMERCIAL CO LTD,0,,1,0
8046680,"DIC PAKISTAN LTD.,",8046680,DAIREN CHEMICAL CORPORATION,0,,1,0
4468778,"DIC PAKISTAN LTD.,",4468778,DOW EUROPE GMBH,0,,1,1
5427938,"DIC PAKISTAN LTD.,",5427938,HANWHA CORPORATION,0,,1,1
4393137,"DIC PAKISTAN LTD.,",4393137,KRONOS TITAN GMBH,0,,1,0
11435463,"DIC PAKISTAN LTD.,",11435463,NANTONG BAICHUAN NEW MATERIAL,0,,1,0
1514692,"DIC PAKISTAN LTD.,",757346,OMYA INTERNATIONAL AG,0,0,2,1
21177974,"DIC PAKISTAN LTD.,",7059324.667,PON PURE CHEMICAL INDIA PRIVATE,0,1235750.874,3,0
15187702.2,"DIC PAKISTAN LTD.,",7593851.1,PRECHEZA AS,0,207094.4642,2,0
4491958,"DIC PAKISTAN LTD.,",2245979,PT BASF INDONESIA,0,217801.6165,2,0
18345508,"DIC PAKISTAN LTD.,",18345508,TNC INDUSTRIAL CO LTD,0,,1,0
4769496,"DIC PAKISTAN LTD.,",2384748,TOTAL OIL ASIAPACIFIC PTE LTD,0,198384.4643,2,1
2462075,"DIC PAKISTAN LTD.,",2462075,TOYOTA TSUSHO CORPORATION,0,,1,1
1402793,"DIC PAKISTAN LTD.,",1402793,XRITE ASIA PACIFIC LIMITED,0,,1,1
6370554.97,CHEM-TECH INTERNATIONAL.,2123518.323,AK CHEMTECH CO LTD,0,241769.124,3,0
979041.96,CHEM-TECH INTERNATIONAL.,979041.96,AKPA TEKSTIL IHRACAT PAZARLAMA AS,0,,1,1
13699851,CHEM-TECH INTERNATIONAL.,3424962.75,BASF HONG KONG LIMITED,0,1259003.757,4,0
77589719.49,CHEM-TECH INTERNATIONAL.,3526805.431,BASF SOUTH EAST ASIA PTE LIMITED,0,637233.2247,22,0
3586782,CHEM-TECH INTERNATIONAL.,3586782,CCJS INTERNATIONAL CO LTD,0,,1,1
5159974,CHEM-TECH INTERNATIONAL.,5159974,FUJIAN SANMING FOREIGN TRADE,0,,1,1
5021000,CHEM-TECH INTERNATIONAL.,2510500,ILYAS SONS CORPORATION,0,0,2,0
1775991,CHEM-TECH INTERNATIONAL.,1775991,INTERCONTINENTAL OILS AND FATS PTE,0,,1,0
7749493.67,CHEM-TECH INTERNATIONAL.,1937373.418,MIWON CHEMICALS CO LTD,0,8786.275,4,0
7871961,CHEM-TECH INTERNATIONAL.,7871961,MOMENTIVE PERFORMANCE MATERIALS,0,,1,0
7186800,CHEM-TECH INTERNATIONAL.,7186800,MULTI RESIN INDUSTRIES,0,,1,0
3152504,CHEM-TECH INTERNATIONAL.,3152504,PAN ASIA CHEMICAL CORPORATION,0,,1,0
34318214.5,CHEM-TECH INTERNATIONAL.,3431821.45,SAUDI BASIC INDUSTRIES CORPORATION,0,356863.8882,10,1
1823991,CHEM-TECH INTERNATIONAL.,1823991,SOUTHERN ACIDS INDUSTRIES SDN BHD,0,,1,0
20890076.01,CHEM-TECH INTERNATIONAL.,4178015.202,ULTRAKIM KIMYA SAN VE TIC AS,0,1864199.081,5,1
6328848.7,CHEM-TECH INTERNATIONAL.,1582212.175,VIRGOZ OILS AND FATS PTE LTD,0,668151.1187,4,0
2157109,CHEM-TECH INTERNATIONAL.,2157109,ZHENGZHOU ACETO CHEMICALS,0,,1,0
14399928,BROTHERS ENTERPRISE (PVT),7199964,CJ CHEILJEDANG CORPORATION,0,0,2,0
53035594.02,BROTHERS ENTERPRISE (PVT),10607118.8,FUJI KASEI CO LTD,0,7522834.165,5,0
9359953,BROTHERS ENTERPRISE (PVT),4679976.5,INTERCONTINENTAL OILS AND FATS PTE,0,644877.8489,2,0
16172270,BROTHERS ENTERPRISE (PVT),4043067.5,JLP CORPORATION,0,1026582.506,4,0
105198034.2,BROTHERS ENTERPRISE (PVT),9563457.655,JUNGBUNZLAUER AUSTRIA AG,0,508365.6009,11,0
21603620.2,BROTHERS ENTERPRISE (PVT),3086231.457,LCY CHEMICAL CORP,0,1404760.753,7,0
1725875.25,BROTHERS ENTERPRISE (PVT),1725875.25,MING TAI CHEMICAL CO LTD,0,,1,0
